crime_count,MONTH,HOUR,DAY_OF_WEEK,percent_difference
64,4,0,Saturday,-0.68952676071651852458
87,4,0,Sunday,-0.57795044034901736935
77,4,0,Thursday,-0.62646188398706134989
50,4,0,Tuesday,-0.75744278180978009733
104,4,0,Wednesday,-0.49548098616434260244
78,4,1,Friday,-0.62161073962325695183
27,4,1,Monday,-0.86901910217728125256
62,4,1,Saturday,-0.69922904944412732069
90,4,1,Sunday,-0.56339700725760417519
78,4,1,Thursday,-0.62161073962325695183
24,4,1,Tuesday,-0.88357253526869444672
87,4,1,Wednesday,-0.57795044034901736935
77,4,2,Friday,-0.62646188398706134989
24,4,2,Monday,-0.88357253526869444672
62,4,2,Saturday,-0.69922904944412732069
53,4,2,Sunday,-0.74288934871836690317
45,4,2,Thursday,-0.78169850362880208760
45,4,2,Tuesday,-0.78169850362880208760
7,4,2,Wednesday,-0.96604198945336921363
3,4,3,Friday,-0.98544656690858680584
39,4,3,Monday,-0.81080536981162847592
25,4,3,Saturday,-0.87872139090489004866
13,4,3,Sunday,-0.93693512327054282531
37,4,3,Thursday,-0.82050765853923727202
6,4,3,Tuesday,-0.97089313381717361168
2,4,3,Wednesday,-0.99029771127239120389
21,4,4,Friday,-0.89812596836010764088
37,4,4,Monday,-0.82050765853923727202
8,4,4,Saturday,-0.96119084508956481557
24,4,4,Sunday,-0.88357253526869444672
3,4,4,Thursday,-0.98544656690858680584
19,4,4,Tuesday,-0.90782825708771643698
53,4,4,Wednesday,-0.74288934871836690317
1,4,5,Friday,-0.99514885563619560195
14,4,5,Monday,-0.93208397890673842725
22,4,5,Saturday,-0.89327482399630324282
7,4,5,Sunday,-0.96604198945336921363
19,4,5,Thursday,-0.90782825708771643698
2,4,5,Tuesday,-0.99029771127239120389
20,4,5,Wednesday,-0.90297711272391203893
5,4,6,Friday,-0.97574427818097800973
40,4,6,Monday,-0.80595422544782407786
3,4,6,Saturday,-0.98544656690858680584
3,4,6,Sunday,-0.98544656690858680584
6,4,6,Thursday,-0.97089313381717361168
37,4,6,Tuesday,-0.82050765853923727202
18,4,6,Wednesday,-0.91267940145152083504
40,4,7,Friday,-0.80595422544782407786
37,4,7,Monday,-0.82050765853923727202
5,4,7,Saturday,-0.97574427818097800973
26,4,7,Sunday,-0.87387024654108565061
29,4,7,Thursday,-0.85931681344967245645
25,4,7,Tuesday,-0.87872139090489004866
39,4,7,Wednesday,-0.81080536981162847592
45,4,8,Friday,-0.78169850362880208760
44,4,8,Monday,-0.78654964799260648565
43,4,8,Saturday,-0.79140079235641088370
21,4,8,Sunday,-0.89812596836010764088
47,4,8,Thursday,-0.77199621490119329149
42,4,8,Tuesday,-0.79625193672021528176
44,4,8,Wednesday,-0.78654964799260648565
21,4,9,Friday,-0.89812596836010764088
74,4,9,Monday,-0.64101531707847454405
61,4,9,Saturday,-0.70408019380793171874
58,4,9,Sunday,-0.71863362689934491290
35,4,9,Thursday,-0.83020994726684606813
28,4,9,Tuesday,-0.86416795781347685450
34,4,9,Wednesday,-0.83506109163065046618
60,4,10,Friday,-0.70893133817173611679
72,4,10,Monday,-0.65071760580608334015
48,4,10,Saturday,-0.76714507053738889343
88,4,10,Sunday,-0.57309929598521297130
65,4,10,Thursday,-0.68467561635271412653
24,4,10,Tuesday,-0.88357253526869444672
79,4,10,Wednesday,-0.61675959525945255378
22,4,11,Friday,-0.89327482399630324282
64,4,11,Monday,-0.68952676071651852458
50,4,11,Saturday,-0.75744278180978009733
77,4,11,Sunday,-0.62646188398706134989
106,4,11,Thursday,-0.48577869743673380634
82,4,11,Tuesday,-0.60220616216803935962
72,4,11,Wednesday,-0.65071760580608334015
81,4,12,Friday,-0.60705730653184375767
24,4,12,Monday,-0.88357253526869444672
53,4,12,Saturday,-0.74288934871836690317
124,4,12,Sunday,-0.39845809888825464137
92,4,12,Thursday,-0.55369471852999537908
92,4,12,Tuesday,-0.55369471852999537908
119,4,12,Wednesday,-0.42271382070727663164
73,4,13,Friday,-0.64586646144227894210
30,4,13,Monday,-0.85446566908586805840
80,4,13,Saturday,-0.61190845089564815572
29,4,13,Sunday,-0.85931681344967245645
46,4,13,Thursday,-0.77684735926499768954
43,4,13,Tuesday,-0.79140079235641088370
67,4,13,Wednesday,-0.67497332762510533042
54,4,14,Friday,-0.73803820435456250511
74,4,14,Monday,-0.64101531707847454405
70,4,14,Saturday,-0.66041989453369213626
71,4,14,Sunday,-0.65556875016988773821
58,4,14,Thursday,-0.71863362689934491290
80,4,14,Tuesday,-0.61190845089564815572
87,4,14,Wednesday,-0.57795044034901736935
39,4,15,Friday,-0.81080536981162847592
92,4,15,Monday,-0.55369471852999537908
100,4,15,Saturday,-0.51488556361956019466
87,4,15,Sunday,-0.57795044034901736935
141,4,15,Thursday,-0.31598864470357987447
44,4,15,Tuesday,-0.78654964799260648565
121,4,15,Wednesday,-0.41301153197966783553
52,4,16,Friday,-0.74774049308217130122
128,4,16,Monday,-0.37905352143303704916
89,4,16,Saturday,-0.56824815162140857324
70,4,16,Sunday,-0.66041989453369213626
100,4,16,Thursday,-0.51488556361956019466
67,4,16,Tuesday,-0.67497332762510533042
208,4,16,Wednesday,0.00903802767131479512
70,4,17,Friday,-0.66041989453369213626
38,4,17,Monday,-0.81565651417543287397
64,4,17,Saturday,-0.68952676071651852458
96,4,17,Sunday,-0.53429014107477778687
202,4,17,Thursday,-0.02006883851151159321
108,4,17,Tuesday,-0.47607640870912501023
169,4,17,Wednesday,-0.18015660251705672897
85,4,18,Friday,-0.58765272907662616546
85,4,18,Monday,-0.58765272907662616546
42,4,18,Saturday,-0.79625193672021528176
53,4,18,Sunday,-0.74288934871836690317
84,4,18,Thursday,-0.59250387344043056351
94,4,18,Tuesday,-0.54399242980238658298
69,4,18,Wednesday,-0.66527103889749653431
59,4,19,Friday,-0.71378248253554051485
68,4,19,Monday,-0.67012218326130093237
91,4,19,Saturday,-0.55854586289379977714
68,4,19,Sunday,-0.67012218326130093237
129,4,19,Thursday,-0.37420237706923265111
57,4,19,Tuesday,-0.72348477126314931095
121,4,19,Wednesday,-0.41301153197966783553
55,4,20,Friday,-0.73318705999075810706
63,4,20,Monday,-0.69437790508032292263
92,4,20,Saturday,-0.55369471852999537908
91,4,20,Sunday,-0.55854586289379977714
86,4,20,Thursday,-0.58280158471282176740
67,4,20,Tuesday,-0.67497332762510533042
98,4,20,Wednesday,-0.52458785234716899076
164,4,21,Friday,-0.20441232433607871924
84,4,21,Monday,-0.59250387344043056351
80,4,21,Saturday,-0.61190845089564815572
81,4,21,Sunday,-0.60705730653184375767
68,4,21,Thursday,-0.67012218326130093237
45,4,21,Tuesday,-0.78169850362880208760
71,4,21,Wednesday,-0.65556875016988773821
130,4,22,Friday,-0.36935123270542825305
38,4,22,Monday,-0.81565651417543287397
142,4,22,Saturday,-0.31113750033977547641
21,4,22,Sunday,-0.89812596836010764088
84,4,22,Thursday,-0.59250387344043056351
101,4,22,Tuesday,-0.51003441925575579660
50,4,22,Wednesday,-0.75744278180978009733
105,4,23,Friday,-0.49062984180053820439
43,4,23,Monday,-0.79140079235641088370
53,4,23,Saturday,-0.74288934871836690317
53,4,23,Sunday,-0.74288934871836690317
89,4,23,Thursday,-0.56824815162140857324
97,4,23,Tuesday,-0.52943899671097338882
45,4,23,Wednesday,-0.78169850362880208760
173,5,0,Friday,-0.16075202506183913676
70,5,0,Monday,-0.66041989453369213626
104,5,0,Saturday,-0.49548098616434260244
217,5,0,Sunday,0.05269832694555437760
91,5,0,Thursday,-0.55854586289379977714
83,5,0,Tuesday,-0.59735501780423496156
44,5,0,Wednesday,-0.78654964799260648565
46,5,1,Friday,-0.77684735926499768954
42,5,1,Monday,-0.79625193672021528176
156,5,1,Saturday,-0.24322147924651390366
84,5,1,Sunday,-0.59250387344043056351
54,5,1,Thursday,-0.73803820435456250511
22,5,1,Tuesday,-0.89327482399630324282
47,5,1,Wednesday,-0.77199621490119329149
28,5,2,Friday,-0.86416795781347685450
27,5,2,Monday,-0.86901910217728125256
154,5,2,Saturday,-0.25292376797412269977
107,5,2,Sunday,-0.48092755307292940828
28,5,2,Thursday,-0.86416795781347685450
23,5,2,Tuesday,-0.88842367963249884477
22,5,2,Wednesday,-0.89327482399630324282
74,5,3,Friday,-0.64101531707847454405
42,5,3,Monday,-0.79625193672021528176
63,5,3,Saturday,-0.69437790508032292263
31,5,3,Sunday,-0.84961452472206366034
2,5,3,Thursday,-0.99029771127239120389
39,5,3,Tuesday,-0.81080536981162847592
2,5,3,Wednesday,-0.99029771127239120389
71,5,4,Friday,-0.65556875016988773821
36,5,4,Saturday,-0.82535880290304167008
5,5,4,Sunday,-0.97574427818097800973
24,5,4,Thursday,-0.88357253526869444672
4,5,4,Tuesday,-0.98059542254478240779
21,5,4,Wednesday,-0.89812596836010764088
24,5,5,Friday,-0.88357253526869444672
4,5,5,Monday,-0.98059542254478240779
5,5,5,Saturday,-0.97574427818097800973
3,5,5,Sunday,-0.98544656690858680584
20,5,5,Thursday,-0.90297711272391203893
18,5,5,Tuesday,-0.91267940145152083504
17,5,5,Wednesday,-0.91753054581532523309
36,5,6,Friday,-0.82535880290304167008
2,5,6,Monday,-0.99029771127239120389
71,5,6,Saturday,-0.65556875016988773821
20,5,6,Sunday,-0.90297711272391203893
3,5,6,Thursday,-0.98544656690858680584
41,5,6,Tuesday,-0.80110308108401967981
4,5,6,Wednesday,-0.98059542254478240779
24,5,7,Friday,-0.88357253526869444672
23,5,7,Monday,-0.88842367963249884477
12,5,7,Saturday,-0.94178626763434722336
38,5,7,Sunday,-0.81565651417543287397
10,5,7,Thursday,-0.95148855636195601947
25,5,7,Tuesday,-0.87872139090489004866
97,5,7,Wednesday,-0.52943899671097338882
34,5,8,Friday,-0.83506109163065046618
54,5,8,Monday,-0.73803820435456250511
4,5,8,Saturday,-0.98059542254478240779
22,5,8,Sunday,-0.89327482399630324282
57,5,8,Thursday,-0.72348477126314931095
26,5,8,Tuesday,-0.87387024654108565061
44,5,8,Wednesday,-0.78654964799260648565
155,5,9,Friday,-0.24807262361031830172
37,5,9,Monday,-0.82050765853923727202
29,5,9,Saturday,-0.85931681344967245645
55,5,9,Sunday,-0.73318705999075810706
51,5,9,Thursday,-0.75259163744597569927
40,5,9,Tuesday,-0.80595422544782407786
17,5,9,Wednesday,-0.91753054581532523309
59,5,10,Friday,-0.71378248253554051485
70,5,10,Monday,-0.66041989453369213626
111,5,10,Saturday,-0.46152297561771181607
64,5,10,Sunday,-0.68952676071651852458
38,5,10,Thursday,-0.81565651417543287397
80,5,10,Tuesday,-0.61190845089564815572
40,5,10,Wednesday,-0.80595422544782407786
103,5,11,Friday,-0.50033213052814700050
65,5,11,Monday,-0.68467561635271412653
94,5,11,Saturday,-0.54399242980238658298
161,5,11,Sunday,-0.21896575742749191340
91,5,11,Thursday,-0.55854586289379977714
179,5,11,Tuesday,-0.13164515887901274843
87,5,11,Wednesday,-0.57795044034901736935
118,5,12,Friday,-0.42756496507108102969
126,5,12,Monday,-0.38875581016064584527
78,5,12,Saturday,-0.62161073962325695183
65,5,12,Sunday,-0.68467561635271412653
69,5,12,Thursday,-0.66527103889749653431
122,5,12,Tuesday,-0.40816038761586343748
97,5,12,Wednesday,-0.52943899671097338882
106,5,13,Friday,-0.48577869743673380634
102,5,13,Monday,-0.50518327489195139855
70,5,13,Saturday,-0.66041989453369213626
139,5,13,Sunday,-0.32569093343118867057
77,5,13,Thursday,-0.62646188398706134989
106,5,13,Tuesday,-0.48577869743673380634
213,5,13,Wednesday,0.03329374949033678538
119,5,14,Friday,-0.42271382070727663164
115,5,14,Monday,-0.44211839816249422385
95,5,14,Saturday,-0.53914128543858218492
65,5,14,Sunday,-0.68467561635271412653
108,5,14,Thursday,-0.47607640870912501023
110,5,14,Tuesday,-0.46637411998151621412
111,5,14,Wednesday,-0.46152297561771181607
138,5,15,Friday,-0.33054207779499306863
75,5,15,Monday,-0.63616417271467014599
70,5,15,Saturday,-0.66041989453369213626
59,5,15,Sunday,-0.71378248253554051485
89,5,15,Thursday,-0.56824815162140857324
78,5,15,Tuesday,-0.62161073962325695183
75,5,15,Wednesday,-0.63616417271467014599
136,5,16,Friday,-0.34024436652260186473
77,5,16,Monday,-0.62646188398706134989
133,5,16,Saturday,-0.35479779961401505889
97,5,16,Sunday,-0.52943899671097338882
76,5,16,Thursday,-0.63131302835086574794
124,5,16,Tuesday,-0.39845809888825464137
102,5,16,Wednesday,-0.50518327489195139855
89,5,17,Friday,-0.56824815162140857324
88,5,17,Monday,-0.57309929598521297130
74,5,17,Saturday,-0.64101531707847454405
154,5,17,Sunday,-0.25292376797412269977
130,5,17,Thursday,-0.36935123270542825305
88,5,17,Tuesday,-0.57309929598521297130
127,5,17,Wednesday,-0.38390466579684144721
133,5,18,Friday,-0.35479779961401505889
214,5,18,Monday,0.03814489385414118344
105,5,18,Saturday,-0.49062984180053820439
102,5,18,Sunday,-0.50518327489195139855
68,5,18,Thursday,-0.67012218326130093237
42,5,18,Tuesday,-0.79625193672021528176
131,5,18,Wednesday,-0.36450008834162385500
108,5,19,Friday,-0.47607640870912501023
45,5,19,Monday,-0.78169850362880208760
113,5,19,Saturday,-0.45182068689010301996
116,5,19,Sunday,-0.43726725379868982580
40,5,19,Thursday,-0.80595422544782407786
72,5,19,Tuesday,-0.65071760580608334015
91,5,19,Wednesday,-0.55854586289379977714
191,5,20,Friday,-0.07343142651335997179
82,5,20,Monday,-0.60220616216803935962
164,5,20,Saturday,-0.20441232433607871924
205,5,20,Sunday,-0.00551540542009839905
55,5,20,Thursday,-0.73318705999075810706
90,5,20,Tuesday,-0.56339700725760417519
108,5,20,Wednesday,-0.47607640870912501023
109,5,21,Friday,-0.47122526434532061218
36,5,21,Monday,-0.82535880290304167008
172,5,21,Saturday,-0.16560316942564353481
227,5,21,Sunday,0.10120977058359835813
109,5,21,Thursday,-0.47122526434532061218
97,5,21,Tuesday,-0.52943899671097338882
211,5,21,Wednesday,0.02359146076272798928
119,5,22,Friday,-0.42271382070727663164
70,5,22,Monday,-0.66041989453369213626
87,5,22,Saturday,-0.57795044034901736935
119,5,22,Sunday,-0.42271382070727663164
97,5,22,Thursday,-0.52943899671097338882
48,5,22,Tuesday,-0.76714507053738889343
84,5,22,Wednesday,-0.59250387344043056351
91,5,23,Friday,-0.55854586289379977714
81,5,23,Monday,-0.60705730653184375767
141,5,23,Saturday,-0.31598864470357987447
117,5,23,Sunday,-0.43241610943488542775
50,5,23,Thursday,-0.75744278180978009733
58,5,23,Tuesday,-0.71863362689934491290
31,5,23,Wednesday,-0.84961452472206366034
106,6,0,Friday,-0.48577869743673380634
86,6,0,Monday,-0.58280158471282176740
169,6,0,Saturday,-0.18015660251705672897
240,6,0,Sunday,0.16427464731305553283
114,6,0,Thursday,-0.44696954252629862191
84,6,0,Tuesday,-0.59250387344043056351
72,6,0,Wednesday,-0.65071760580608334015
85,6,1,Friday,-0.58765272907662616546
44,6,1,Monday,-0.78654964799260648565
172,6,1,Saturday,-0.16560316942564353481
67,6,1,Sunday,-0.67497332762510533042
37,6,1,Thursday,-0.82050765853923727202
94,6,1,Tuesday,-0.54399242980238658298
29,6,1,Wednesday,-0.85931681344967245645
56,6,2,Friday,-0.72833591562695370901
64,6,2,Monday,-0.68952676071651852458
163,6,2,Saturday,-0.20926346869988311729
69,6,2,Sunday,-0.66527103889749653431
21,6,2,Thursday,-0.89812596836010764088
24,6,2,Tuesday,-0.88357253526869444672
54,6,2,Wednesday,-0.73803820435456250511
24,6,3,Friday,-0.88357253526869444672
57,6,3,Monday,-0.72348477126314931095
33,6,3,Saturday,-0.83991223599445486424
91,6,3,Sunday,-0.55854586289379977714
40,6,3,Thursday,-0.80595422544782407786
39,6,3,Tuesday,-0.81080536981162847592
18,6,3,Wednesday,-0.91267940145152083504
39,6,4,Friday,-0.81080536981162847592
19,6,4,Monday,-0.90782825708771643698
23,6,4,Saturday,-0.88842367963249884477
23,6,4,Sunday,-0.88842367963249884477
25,6,4,Thursday,-0.87872139090489004866
4,6,4,Tuesday,-0.98059542254478240779
61,6,5,Friday,-0.70408019380793171874
56,6,5,Monday,-0.72833591562695370901
21,6,5,Saturday,-0.89812596836010764088
21,6,5,Sunday,-0.89812596836010764088
4,6,5,Thursday,-0.98059542254478240779
35,6,5,Tuesday,-0.83020994726684606813
20,6,5,Wednesday,-0.90297711272391203893
20,6,6,Friday,-0.90297711272391203893
35,6,6,Monday,-0.83020994726684606813
38,6,6,Saturday,-0.81565651417543287397
25,6,6,Sunday,-0.87872139090489004866
7,6,6,Thursday,-0.96604198945336921363
22,6,6,Tuesday,-0.89327482399630324282
37,6,6,Wednesday,-0.82050765853923727202
46,6,7,Friday,-0.77684735926499768954
38,6,7,Monday,-0.81565651417543287397
4,6,7,Saturday,-0.98059542254478240779
2,6,7,Sunday,-0.99029771127239120389
19,6,7,Thursday,-0.90782825708771643698
41,6,7,Tuesday,-0.80110308108401967981
9,6,7,Wednesday,-0.95633970072576041752
110,6,8,Friday,-0.46637411998151621412
31,6,8,Monday,-0.84961452472206366034
44,6,8,Saturday,-0.78654964799260648565
56,6,8,Sunday,-0.72833591562695370901
44,6,8,Thursday,-0.78654964799260648565
40,6,8,Tuesday,-0.80595422544782407786
82,6,8,Wednesday,-0.60220616216803935962
66,6,9,Friday,-0.67982447198890972847
31,6,9,Monday,-0.84961452472206366034
25,6,9,Saturday,-0.87872139090489004866
25,6,9,Sunday,-0.87872139090489004866
85,6,9,Thursday,-0.58765272907662616546
99,6,9,Tuesday,-0.51973670798336459271
51,6,9,Wednesday,-0.75259163744597569927
50,6,10,Friday,-0.75744278180978009733
63,6,10,Monday,-0.69437790508032292263
46,6,10,Saturday,-0.77684735926499768954
34,6,10,Sunday,-0.83506109163065046618
77,6,10,Thursday,-0.62646188398706134989
98,6,10,Tuesday,-0.52458785234716899076
84,6,10,Wednesday,-0.59250387344043056351
101,6,11,Friday,-0.51003441925575579660
86,6,11,Monday,-0.58280158471282176740
45,6,11,Saturday,-0.78169850362880208760
9,6,11,Sunday,-0.95633970072576041752
89,6,11,Thursday,-0.56824815162140857324
54,6,11,Tuesday,-0.73803820435456250511
50,6,11,Wednesday,-0.75744278180978009733
95,6,12,Friday,-0.53914128543858218492
187,6,12,Monday,-0.09283600396857756401
155,6,12,Saturday,-0.24807262361031830172
66,6,12,Sunday,-0.67982447198890972847
126,6,12,Thursday,-0.38875581016064584527
73,6,12,Tuesday,-0.64586646144227894210
37,6,12,Wednesday,-0.82050765853923727202
60,6,13,Friday,-0.70893133817173611679
91,6,13,Monday,-0.55854586289379977714
105,6,13,Saturday,-0.49062984180053820439
69,6,13,Sunday,-0.66527103889749653431
44,6,13,Thursday,-0.78654964799260648565
171,6,13,Tuesday,-0.17045431378944793286
141,6,13,Wednesday,-0.31598864470357987447
81,6,14,Friday,-0.60705730653184375767
155,6,14,Monday,-0.24807262361031830172
107,6,14,Saturday,-0.48092755307292940828
171,6,14,Sunday,-0.17045431378944793286
104,6,14,Thursday,-0.49548098616434260244
52,6,14,Tuesday,-0.74774049308217130122
85,6,14,Wednesday,-0.58765272907662616546
106,6,15,Friday,-0.48577869743673380634
108,6,15,Monday,-0.47607640870912501023
71,6,15,Saturday,-0.65556875016988773821
159,6,15,Sunday,-0.22866804615510070950
134,6,15,Thursday,-0.34994665525021066084
127,6,15,Tuesday,-0.38390466579684144721
85,6,15,Wednesday,-0.58765272907662616546
95,6,16,Friday,-0.53914128543858218492
121,6,16,Monday,-0.41301153197966783553
172,6,16,Saturday,-0.16560316942564353481
83,6,16,Sunday,-0.59735501780423496156
97,6,16,Thursday,-0.52943899671097338882
63,6,16,Tuesday,-0.69437790508032292263
72,6,16,Wednesday,-0.65071760580608334015
128,6,17,Friday,-0.37905352143303704916
114,6,17,Monday,-0.44696954252629862191
117,6,17,Saturday,-0.43241610943488542775
122,6,17,Sunday,-0.40816038761586343748
91,6,17,Thursday,-0.55854586289379977714
125,6,17,Tuesday,-0.39360695452445024332
219,6,17,Wednesday,0.06240061567316317370
98,6,18,Friday,-0.52458785234716899076
161,6,18,Monday,-0.21896575742749191340
99,6,18,Saturday,-0.51973670798336459271
130,6,18,Sunday,-0.36935123270542825305
91,6,18,Thursday,-0.55854586289379977714
175,6,18,Tuesday,-0.15104973633423034065
74,6,18,Wednesday,-0.64101531707847454405
73,6,19,Friday,-0.64586646144227894210
201,6,19,Monday,-0.02491998287531599126
90,6,19,Saturday,-0.56339700725760417519
142,6,19,Sunday,-0.31113750033977547641
97,6,19,Thursday,-0.52943899671097338882
164,6,19,Tuesday,-0.20441232433607871924
66,6,19,Wednesday,-0.67982447198890972847
197,6,20,Friday,-0.04432456033053358347
121,6,20,Monday,-0.41301153197966783553
99,6,20,Saturday,-0.51973670798336459271
90,6,20,Sunday,-0.56339700725760417519
140,6,20,Thursday,-0.32083978906738427252
130,6,20,Tuesday,-0.36935123270542825305
142,6,20,Wednesday,-0.31113750033977547641
177,6,21,Friday,-0.14134744760662154454
135,6,21,Monday,-0.34509551088640626279
117,6,21,Saturday,-0.43241610943488542775
144,6,21,Sunday,-0.30143521161216668030
58,6,21,Thursday,-0.71863362689934491290
193,6,21,Tuesday,-0.06372913778575117569
211,6,21,Wednesday,0.02359146076272798928
148,6,22,Friday,-0.28203063415694908809
152,6,22,Monday,-0.26262605670173149588
140,6,22,Saturday,-0.32083978906738427252
149,6,22,Sunday,-0.27717948979314469004
92,6,22,Thursday,-0.55369471852999537908
91,6,22,Tuesday,-0.55854586289379977714
162,6,22,Wednesday,-0.21411461306368751534
134,6,23,Friday,-0.34994665525021066084
152,6,23,Monday,-0.26262605670173149588
124,6,23,Saturday,-0.39845809888825464137
92,6,23,Sunday,-0.55369471852999537908
117,6,23,Thursday,-0.43241610943488542775
86,6,23,Tuesday,-0.58280158471282176740
106,6,23,Wednesday,-0.48577869743673380634
197,7,0,Friday,-0.04432456033053358347
154,7,0,Monday,-0.25292376797412269977
172,7,0,Saturday,-0.16560316942564353481
105,7,0,Sunday,-0.49062984180053820439
94,7,0,Thursday,-0.54399242980238658298
140,7,0,Tuesday,-0.32083978906738427252
212,7,0,Wednesday,0.02844260512653238733
162,7,1,Friday,-0.21411461306368751534
